model,gph,source,date
DASSAULT Falcon 50,319,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Dassault-Falcon-50EX-97,2024-02-02
ECLIPSE 550,76,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Eclipse-Aerospace-Eclipse-500-220,2024-02-02
EMBRAER EMB-135 Legacy,285,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Embraer-Legacy-450-196,2024-02-02
EMBRAER EMB-135 Legacy,287,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Embraer-Legacy-500-190,2024-02-02
EMBRAER EMB-135 Legacy,363,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Embraer-Legacy-600-104,2024-02-02
EMBRAER EMB-135 Legacy,381,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Embraer-Legacy-650-162,2024-02-02
EMBRAER EMB-500 Phenom 100,113,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Embraer-Phenom-100-106,2024-02-02
EMBRAER EMB-505 Phenom 300,179,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Embraer-Phenom-300-107,2024-02-02
EMBRAER EMB545 Praetor 500,287,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Embraer-Praetor-500-200,2024-02-02
EMBRAER EMB-550 Praetor 600,298,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Embraer-Praetor-600-201,2024-02-02
GULFSTREAM G700,509,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Gulfstream-G700-208,2024-02-02
GULFSTREAM G150,288,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Gulfstream-G150-126,2024-02-02
GULFSTREAM G-7 G400,540,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Gulfstream-G400-(Heritage)-130,2024-02-02
GULFSTREAM G500,430,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Gulfstream-G500-(Heritage)-177,2024-02-02
GULFSTREAM G500,455,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Gulfstream-G500-211,2024-02-02
GULFSTREAM G650,500,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Gulfstream-G650-29,2024-02-02
GULFSTREAM G650,503,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Gulfstream-G650ER-207,2024-02-02
GULFSTREAM 4,540,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Gulfstream-G400-(Heritage)-130,2024-02-02
GULFSTREAM 4,517,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Gulfstream-G450-131,2024-02-02
GULFSTREAM G280,286,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Gulfstream-G280-30,2024-02-02
GULFSTREAM 200,278,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Gulfstream-G200-127,2024-02-02
GULFSTREAM 5,500,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Gulfstream-GV-137,2024-02-02
GULFSTREAM 5,430,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Gulfstream-G500-(Heritage)-177,2024-02-02
GULFSTREAM 5,455,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Gulfstream-G500-211,2024-02-02
GULFSTREAM 5,438,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Gulfstream-G550-132,2024-02-02
GULFSTREAM G600,500,https://www.guardianjet.com/jet-aircraft-online-tools/aircraft-brochure.cfm?m=Gulfstream-G600-202,2024-02-02
